rank,file,layer,lines_found,lines_hit,coverage_pct,uncovered_lines,has_test
166,"presentation/blocs/settings/biometric_settings_cubit.dart",presentation/blocs,16,15,93.75,1,NO
167,"presentation/pages/error/error_page.dart",presentation/pages,13,12,92.31,1,NO
168,"core/services/image_editor_service.dart",core/services,1,0,0.00,1,NO
169,"core/utils/image_upload_path_resolver.dart",core/utils,4,3,75.00,1,YES
170,"core/utils/validators.dart",core/utils,23,22,95.65,1,NO
171,"presentation/blocs/app/app_lock_state.dart",presentation/blocs,6,5,83.33,1,NO
172,"presentation/blocs/chat/group_image_state.dart",presentation/blocs,7,6,85.71,1,NO
173,"core/theme/app_theme.dart",core/other,49,48,97.96,1,NO
174,"domain/entities/chat_room.dart",domain,51,51,100.00,0,NO
175,"domain/repositories/chat_repository.dart",domain,1,1,100.00,0,NO
176,"presentation/blocs/chat/message_search/message_search_bloc.dart",presentation/blocs,33,33,100.00,0,NO
177,"presentation/blocs/chat/message_search/message_search_event.dart",presentation/blocs,10,10,100.00,0,NO
178,"presentation/blocs/chat/message_search/message_search_state.dart",presentation/blocs,20,20,100.00,0,NO
179,"data/models/profile_history_model.dart",data/models,23,23,100.00,0,NO
180,"data/models/profile_history_model.g.dart",data/models,20,20,100.00,0,NO
181,"data/models/user_model.dart",data/models,30,30,100.00,0,NO
182,"domain/entities/profile_history.dart",domain,21,21,100.00,0,NO
183,"domain/entities/auth_token.dart",domain,3,3,100.00,0,NO
184,"domain/entities/chat_settings.dart",domain,17,17,100.00,0,NO
185,"data/models/friend_model.dart",data/models,33,33,100.00,0,NO
186,"data/models/friend_model.g.dart",data/models,40,40,100.00,0,NO
187,"data/datasources/remote/notification_remote_datasource.dart",data/datasources/remote,11,11,100.00,0,NO
188,"data/models/auth_models.dart",data/models,26,26,100.00,0,NO
189,"data/models/auth_models.g.dart",data/models,37,37,100.00,0,NO
190,"data/datasources/local/notification_local_datasource.dart",data/datasources/local,11,11,100.00,0,NO
191,"core/utils/exception_to_failure_mapper.dart",core/utils,17,17,100.00,0,NO
192,"presentation/pages/report/report_page.dart",presentation/pages,58,58,100.00,0,NO
193,"presentation/blocs/chat/group_image_cubit.dart",presentation/blocs,10,10,100.00,0,NO
194,"presentation/blocs/chat/chat_list_state.dart",presentation/blocs,14,14,100.00,0,NO
195,"presentation/blocs/chat/chat_room_state.dart",presentation/blocs,76,76,100.00,0,NO
196,"presentation/blocs/friend/friend_state.dart",presentation/blocs,33,33,100.00,0,NO
197,"presentation/blocs/settings/biometric_settings_state.dart",presentation/blocs,8,8,100.00,0,NO
198,"presentation/pages/chat/widgets/date_separator.dart",presentation/pages,12,12,100.00,0,NO
